title,category,reward
"충전해서 쓰는 초음파 전자 세탁,세척기?! 세탁소 사장님도 놀란 워시와우",테크·가전,14791%
손가락 하나로 디지털 기기를 컨트롤! 진짜 만능 블루투스 마우스&리모컨,테크·가전,14770%
"""누가 요새 들고 다니니?"" 땀쟁이들은 미리 준비해! 넥밴드 선풍기",테크·가전,14759%
"[글로벌 9억 펀딩] 눈으로 보는 짜릿한 귀르가즘, 비버드 이어스캐너",테크·가전,14554%
[처음이자 마지막앵콜] 진공 보존 끝판왕 ! 샤크/닌자 진공블렌더,테크·가전,14464%
"[4.8점 앵콜] 역대급 만족도의 전기면도기, 리미티드 컬러로 돌아오다",테크·가전,14442%
[6차 앵콜] 달인파워툴 시즌2 블루 컬러!! 가정용 DIY 전동 공구,테크·가전,14317%
[2억앵콜!] 당신의 다음 카메라는 카메라가 아니다!! 셔터그립2,테크·가전,14294%
[모발건조 3분컷] 아침에 좀더 주무세요. 드라이어 2개 합친 괴물스펙!,테크·가전,14248%
고성능 초고화질 액션캠을 [10만원대]로 구현하다! 게릴라 액션캠,테크·가전,14241%
★차량필수템★ 트레이&무선충전까지 3in1 차량용 컵홀더 <컵플러스>!,테크·가전,14205%
"열선 없이 발열이?! 특허받은 신기술로 빈틈없는 온기, 휴대용 전기담요",테크·가전,13947%
다이슨청소기를 쓰고 있다면? 딱 맞는 물걸레 브러쉬 장만하세요!,테크·가전,13895%
LED가 864개! 근적외선 전문 브랜드가 만든 프리미엄 LED 테라피,테크·가전,13843%
[누적 펀딩액 2.9억] 신개념 블루투스 리모컨 릿제로 마카롱,테크·가전,13737%
"입에 물고 단, 45초 양치끝. [V-WHITE 3D 전동칫솔]",테크·가전,13586%
[남자 필독] 포마드? 다운펌? 어떤 헤어스타일도 1분 셀프완성 페이스컬,테크·가전,13576%
[4219%앵콜] 올여름 최강더위 OUT! ESL쿨링매트면 끝!,테크·가전,13520%
"13개의 커넥터와 노트북 거치대가 하나로, [Station Alpha]",테크·가전,13468%
"보여주고 싶은 PD기능 디자인 멀티탭, 벨레 PLUG 5",테크·가전,13377%
<불 없이 조리한다? > 한 뼘 그릴 레가토 시그널 #원목 감성그릴,테크·가전,13321%
[진짜가 나타났다] 로봇전문가 유진로봇이 출시한 똑똑&미친가격 로봇청소기,테크·가전,13186%
답답한 마스크를 벗고 공기청정기를 쓰다 | 웨어러블 공기청정기,테크·가전,12967%
[국내최초]노트북 전기느낌/터치오류 잡고 충전은 덤! 초소형 멀티충전기,테크·가전,12941%
건조하고 답답한 온풍기 바람에 쾌적함을 더하다! 라온닉스 팬히터,테크·가전,12801%
[목에 에어컨 두른 듯] 여름을 이기는 찬바람에 뒷목까지 얼얼한 목풍기,테크·가전,12795%
"[1억 신화/마지막 앵콜] 다붙여 드립니다! 국민 핸드 실러, 다부치!",테크·가전,12767%
[앵콜] 변기청소 단한번 설치면 평생 끝! 세균/악취/곰팡이까지 한방에~,테크·가전,12695%
[샤오미 인페이스] 아쿠아필 피지제거기로 깐달걀 피부만들자~!,테크·가전,12641%
[샤크/닌자블렌더] 진공펌프로 진공 보존 끝판왕! 영양소파괴는 NO!,테크·가전,12555%
[세계최초] 차키 없이 키플하세요! 3분이면 OK!,테크·가전,12532%
"[1.1억 앵콜] 프로게이머로 오해 받는 플레이, 여기서 나옵니다.",테크·가전,12480%
[1.4억 달성 앵콜] 단체채팅번역부터 외국어 학습까지! 번역기 타임캐틀,테크·가전,12356%
[메이플스토리] 무드등을 더한 가습기&무선충전기로 우리 일상 레벨 업,테크·가전,12341%
[글로벌 64억 펀딩] 필터 교체가 필요없는 신개념 공기청정기 포이마핏!,테크·가전,12164%
[유인+흡입+감전] 자비없는 3콤보 해충사냥꾼 듀얼 해충퇴치기 등장!,테크·가전,12133%
[3.4억최종앵콜]! 당신의 다음 카메라는 카메라가 아니다!!,테크·가전,12030%
카페보다 맛있는 홈커피의 비밀! 랍스터도 갈아버리는 강력한 그라인더,테크·가전,11946%
옷 속으로도 바람이? 내 마음대로 활용 가능한 휴대용선풍기 ALL7,테크·가전,11809%
"[10000%달성] 무선 청소기 오비큠, 내 공간의 감각을 높이다",테크·가전,11763%
[추석전배송및장착]9만원대 전후방FHD! 믿을 수 있는 국내생산 블랙박스,테크·가전,11740%
짐벌명가 Feiyu-tech : 업계 최초의 분리형 포켓짐벌 카메라!,테크·가전,11726%
대용량 끝판왕! 써보다 결국 정착하는 엑타코 폴딩 써큘레이터 드디어 출시,테크·가전,11700%
"2천만개 음이온의 강력 효과ㅣ세상에서 가장 작은 공기청정기, 닥터원플러스",테크·가전,11687%
[가장 진화된 마우스] 내 손의 구원이 될 대박적인 구름클릭!,테크·가전,11641%
"홈 카페가 되는 시간. 단 5분! 가정용 콜드브루 커피머신, 소닉더치",테크·가전,11626%
[아마존 매출 10억] 글로벌이 인정한 스마트기기 케이스,테크·가전,11618%
"[4채널끝판왕] 제대로 만든 블랙박스, 보이지 않는 문콕도 두렵지 않다!",테크·가전,11556%
UV살균과 강력흡입을 한 번에! 침구걱정 끝! 세균까지 청소하는 레이캅고,테크·가전,11408%
"[누적판매 1600대] 글로벌 1위 브랜드 싱거미니, 확장판으로 돌아오다",테크·가전,11282%
"7만원대로 만나는 엑티브 노이즈캔슬링 헤드폰, 놀라운 가성비와 몰입감!",테크·가전,11276%
"3만원대로 매일 집에서 몸상태 체크하자! 내 몸을 한 눈에, 스마트체중계",테크·가전,11265%
[잔망루PICK] 잔망 터지는 고데기! 루피 무선 미니 고데기!,테크·가전,11187%
전기차도 LFP베터리가 대세! 안전하고 강력한 초대용량 파워 스테이션!,테크·가전,11163%
공간을 감각과 고음질로 채우다 : 벨레 데스크탑 오디오 [ W401D ],테크·가전,11063%
[앵콜]전 세계가 반한 SwitchBot 스위치봇 전동커튼,테크·가전,11037%
와디즈에서 가장 먼저 만나는 나만의 스냅사진가 - 캐논파워샷 픽,테크·가전,11036%
[글로벌 14억 앵콜] 쓸고 닦고 스스로 세척까지! 무선 청소기 끝판왕!,테크·가전,10952%
"마스크에 착! 끼우면, 숨통이 탁! 트여요. [공기순환기 에어클립]",테크·가전,10894%
[PaMu] 글로벌 10억 펀딩! 세계가 인정한 Hi-Fi 파뮤 이어폰,테크·가전,10817%
"맥북은 아이패드가 될 수 없지만, 아이패드는 맥북이 될 수? 있다!",테크·가전,10794%
[최대 10시간 연속촬영] 액션캠계의 에너자이저! 1O만원대 4K 액션캠,테크·가전,10701%
"[베이직북14 마지막앵콜] 20만원대 가성비갑 울트라북, 베이직북14!",테크·가전,10670%
선풍기는 1부터 100단계까지 섬세하게 IoT 연동으로 똑똑하게,테크·가전,10647%
6시간만에 음쓰 92% 감량 끝! 4.3L 대용량 괴물스펙 음식물 처리기,테크·가전,10614%
[1만원대 거치대 끝판왕] 붙이지 않아 더-편한 노트북거치대,테크·가전,10550%
[세상에.없던.렌즈관리.혁명] 초음파세척으로 촉촉하고 깨끗하게 디자인하다,테크·가전,10494%
"[크리메이커 메탈] 국산 3D 프린터의 자존심, 크리메이커가 돌아왔습니다",테크·가전,10432%
[15889% 앵콜] 우리집 뱃살 폭격기 복근 트레이너 리얼EMS,테크·가전,10432%
홈케어 제품이라고 다 같나요?ㅣ피부장벽까지 깊숙히 놀라운 흡수율 439%,테크·가전,10389%
캠핑필수 선풍기 진짜 차박러가 캠핑용선풍기에 도전하다?! 엠팬,테크·가전,10299%
[평점5점] 샤크닌자 블렌딩+다지기+채/편썰기까지 올인원 블렌더 앵콜해요,테크·가전,10293%
[4.9점 앵콜] 안심하고 숨쉴 수 있는 공간. 공기살균기로 만들어보세요,테크·가전,10227%
"TourBox NEO-창작력을 해방시키는 컨트롤러, 복잡한 단축키 안녕!",테크·가전,10173%
[앱코 버티컬 마우스] 클릭 한번으로 창 전환! 손목 +사생활 보호까지!,테크·가전,10133%
흡-착! 무선 보조배터리 끝판왕 | 어느것 하나 놓치지 않았어요. R5,테크·가전,10035%
[글로벌14억]귀에 꽂기만 해도 실시간 번역! 비즈니스부터 셀프학습까지!,테크·가전,9952%
